,Car_Model,Type,Location,Car_Body_Type,Model_Year,Brand,Km Driven,Ownership,Fuel Type,RTO Office,Discounted_Car_Price,Baseline Price,Car_Type
743,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,77659,1ST OWNER,PETROL,KA-01,351000,416000,Manual
744,Maruti Wagon R 1.0,LXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2010,Maruti,48860,1ST OWNER,PETROL,KA-53,254750,290000,Manual
745,Maruti Alto 800,LXIManual,"Bellahalli, Bengaluru",HatchBack,2014,Maruti,48946,2ND OWNER,PETROL,KA-05,247000,260000,Manual
746,Maruti Swift,VDI (O)Manual,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,94926,1ST OWNER,DIESEL,KA-05,637000,705000,Manual
747,Maruti Swift,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2014,Maruti,71336,1ST OWNER,PETROL,KA-05,437000,498000,Manual
748,Hyundai Eon,SPORTZManual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,46345,2ND OWNER,PETROL,KA-41,283000,306000,Manual
749,Maruti Swift,VXI AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2018,Maruti,46009,1ST OWNER,PETROL,KA-05,616000,705000,Automatic
750,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2010,Maruti,131140,1ST OWNER,PETROL,KA-20,238000,292000,Manual
751,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2014,Maruti,113521,1ST OWNER,PETROL,KA-05,450000,504000,Manual
752,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2013,Maruti,83560,1ST OWNER,PETROL,KA-19,316000,329000,Manual
753,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,40546,1ST OWNER,PETROL,KA-53,446000,503000,Manual
754,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2013,Maruti,92529,1ST OWNER,PETROL,KA-19,415000,455000,Manual
755,Maruti Swift,ZDIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,71884,2ND OWNER,DIESEL,KA-03,636000,673000,Manual
756,Maruti Alto K10,VXI (O)Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2018,Maruti,32278,1ST OWNER,PETROL,KA-51,368000,413000,Manual
757,Maruti A Star,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2010,Maruti,64103,2ND OWNER,PETROL,KA-02,218000,236000,Manual
758,Honda Brio,S MTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2012,Honda,66434,2ND OWNER,PETROL,KA-05,342000,375000,Manual
759,Maruti Swift,VXI OManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2017,Maruti,47038,1ST OWNER,PETROL,KA-41,594000,616000,Manual
760,Maruti S PRESSO,VXI+Manual,"Bellahalli, Bengaluru",HatchBack,2020,Maruti,21226,1ST OWNER,PETROL,KA-63,432000,489000,Manual
761,Hyundai i20 Active,1.2 SXManual,"GT World Mall, Bengaluru",HatchBack,2017,Hyundai,46947,1ST OWNER,PETROL,KA-03,676000,717000,Manual
762,Hyundai i10,SPORTZ 1.2 KAPPA2Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2010,Hyundai,46972,2ND OWNER,PETROL,KA-51,285000,308000,Manual
763,Maruti Swift,VXI AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2018,Maruti,42162,2ND OWNER,PETROL,KA-03,655000,705000,Automatic
764,Maruti Swift,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2011,Maruti,60020,1ST OWNER,PETROL,KA-05,392000,411000,Manual
765,Maruti Alto 800,LXIManual,"Bellahalli, Bengaluru",HatchBack,2012,Maruti,88416,2ND OWNER,PETROL,KA-02,218000,250000,Manual
766,Hyundai NEW I20,ASTA 1.0 GDI TURBO DCTAutomatic,"Bellahalli, Bengaluru",HatchBack,2021,Hyundai,40429,2ND OWNER,PETROL,KA-16,960000,1011000,Automatic
767,Maruti Alto 800,LXIManual,"GT World Mall, Bengaluru",HatchBack,2012,Maruti,48775,2ND OWNER,PETROL,KA-05,236000,260000,Manual
768,Maruti Ritz,VXIManual,"Bellahalli, Bengaluru",HatchBack,2011,Maruti,67150,1ST OWNER,PETROL,KA-03,340000,359000,Manual
769,Maruti Alto K10,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2011,Maruti,25928,1ST OWNER,PETROL,KA-05,243000,266000,Manual
770,Hyundai Santro Xing,GL PLUSManual,"Horamavu Agara Road, Bengaluru",HatchBack,2011,Hyundai,66123,1ST OWNER,PETROL,KA-53,282000,300000,Manual
771,Maruti Swift,LXIManual,"Bellahalli, Bengaluru",HatchBack,2013,Maruti,72984,1ST OWNER,PETROL,KA-53,427000,433000,Manual
772,Maruti Swift,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2013,Maruti,69124,1ST OWNER,PETROL,KA-25,435000,507000,Manual
773,Maruti Alto K10,VXIManual,"Bellahalli, Bengaluru",HatchBack,2011,Maruti,68730,2ND OWNER,PETROL,KA-53,224000,260000,Manual
774,Maruti Swift,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2015,Maruti,59296,1ST OWNER,PETROL,MP-04,490000,500000,Manual
775,Maruti Alto K10,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2011,Maruti,58552,1ST OWNER,PETROL,KA-05,231000,263000,Manual
776,Maruti Baleno,ZETA PETROL 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2016,Maruti,22199,1ST OWNER,PETROL,KA-03,645000,714000,Manual
777,Hyundai i20,ERA 1.4 CRDIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2012,Hyundai,40562,1ST OWNER,DIESEL,KA-51,445000,462000,Manual
778,Maruti Alto K10,VXI AMTAutomatic,"GT World Mall, Bengaluru",HatchBack,2016,Maruti,20944,1ST OWNER,PETROL,KA-04,387000,424000,Automatic
779,Hyundai Elite i20,ASTA 1.2 (O)Manual,"Bellahalli, Bengaluru",HatchBack,2018,Hyundai,65015,1ST OWNER,PETROL,KA-40,708000,765000,Manual
780,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2013,Maruti,69748,2ND OWNER,PETROL,KA-09,424000,484000,Manual
781,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2014,Maruti,62029,1ST OWNER,PETROL,KA-03,493000,553000,Manual
782,Maruti Celerio,ZXI AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2021,Maruti,12364,1ST OWNER,PETROL,KA-04,612000,624000,Automatic
783,Hyundai i20,ASTA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2010,Hyundai,111374,1ST OWNER,PETROL,KA-51,314000,338000,Manual
784,Hyundai i10,SPORTZ 1.2 ATAutomatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2013,Hyundai,78272,2ND OWNER,PETROL,KA-53,335000,371000,Automatic
785,Hyundai i10,ERA 1.1Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2010,Hyundai,43679,1ST OWNER,PETROL,KA-51,276000,286000,Manual
786,Maruti Swift,VDIManual,"Bellahalli, Bengaluru",HatchBack,2012,Maruti,55544,2ND OWNER,DIESEL,KA-01,454000,454000,Manual
787,Hyundai i20,MAGNA (O) 1.2Manual,Sonnappanahalli,HatchBack,2010,Hyundai,79987,1ST OWNER,PETROL,KA-04,337000,343000,Manual
788,Renault Pulse,RX L DIESELManual,"Bellahalli, Bengaluru",HatchBack,2014,Renault,83271,1ST OWNER,DIESEL,KA-51,336000,371000,Manual
789,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2012,Maruti,60606,2ND OWNER,PETROL,KA-41,429000,493000,Manual
790,Maruti Alto 800,LXIManual,"Bellahalli, Bengaluru",HatchBack,2012,Maruti,68582,1ST OWNER,PETROL,KA-51,239000,285000,Manual
791,Hyundai i10,MAGNA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2010,Hyundai,83894,2ND OWNER,PETROL,KA-05,268000,284000,Manual
792,Maruti Alto 800,LXIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,79566,2ND OWNER,PETROL,KA-03,258000,297000,Manual
793,Maruti Alto,VXI PLUSManual,"Bellahalli, Bengaluru",HatchBack,2021,Maruti,2368,1ST OWNER,PETROL,KA-05,444000,478000,Manual
794,Maruti Swift,VXI OManual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Maruti,41107,1ST OWNER,PETROL,KA-07,527000,606000,Manual
795,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2011,Maruti,69138,2ND OWNER,PETROL,KA-53,284000,306000,Manual
796,Maruti Swift,VDI ABSManual,"Horamavu Agara Road, Bengaluru",HatchBack,2015,Maruti,87753,1ST OWNER,DIESEL,KA-04,574000,605000,Manual
797,Renault Kwid,RXT 0.8Manual,"Bellahalli, Bengaluru",HatchBack,2017,Renault,43775,1ST OWNER,PETROL,KA-50,371000,388000,Manual
798,Maruti Wagon R 1.0,LXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2010,Maruti,87820,1ST OWNER,PETROL,KA-05,260000,279000,Manual
799,Renault Kwid,RXT 1.0Manual,Sonnappanahalli,HatchBack,2017,Renault,64024,1ST OWNER,PETROL,KA-02,367000,399000,Manual
800,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2016,Maruti,72338,1ST OWNER,PETROL,KA-53,584000,636000,Manual
801,Hyundai i10,MAGNA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2010,Hyundai,54998,1ST OWNER,PETROL,KA-51,283000,291000,Manual
802,Maruti Alto 800,LXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2014,Maruti,28800,1ST OWNER,PETROL,KA-01,287000,311000,Manual
