,Car_Model,Type,Location,Car_Body_Type,Model_Year,Brand,Km_Driven,Ownership,Fuel_Type,RTO_Office,Discounted_Car_Price,Baseline_Price,Car_Type,Age_of_Car,Km_Driven_Per_Year,Categorize_Car_Price
622,Maruti Celerio,ZXIManual,Sonnappanahalli,HatchBack,2015,Maruti,40304,2ND OWNER,PETROL,KA-53,464000,487000,Manual,8,5038,2.5 lakh-5 lakh
623,Maruti Celerio,ZXI AMTAutomatic,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Maruti,33371,1ST OWNER,PETROL,KA-41,489000,531000,Automatic,7,4767.285714,2.5 lakh-5 lakh
624,Maruti Alto K10,VXIManual,Sonnappanahalli,HatchBack,2011,Maruti,70667,2ND OWNER,PETROL,KA-03,245000,245000,Manual,12,5888.916667,below 2.5 lakh
625,Maruti Celerio,ZXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2018,Maruti,50731,1ST OWNER,PETROL,KA-01,487000,516000,Manual,5,10146.2,2.5 lakh-5 lakh
626,Maruti Alto 800,LXIManual,Sonnappanahalli,HatchBack,2015,Maruti,52425,1ST OWNER,PETROL,KA-41,312000,328000,Manual,8,6553.125,2.5 lakh-5 lakh
627,Maruti Celerio,ZXI AMT (O)Automatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2017,Maruti,50894,2ND OWNER,PETROL,KA-50,464000,509000,Automatic,6,8482.333333,2.5 lakh-5 lakh
628,Hyundai Elite i20,ASTA 1.2Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2016,Hyundai,73969,1ST OWNER,PETROL,KA-53,681000,711000,Manual,7,10567,5 lakh-10 lakh
629,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,Sonnappanahalli,HatchBack,2015,Hyundai,25852,1ST OWNER,PETROL,KA-19,520000,567000,Manual,8,3231.5,5 lakh-10 lakh
630,Honda Jazz,1.2L I-VTEC VManual,"Bellahalli, Bengaluru",HatchBack,2016,Honda,78782,1ST OWNER,PETROL,KA-51,535000,605000,Manual,7,11254.57143,5 lakh-10 lakh
631,Maruti Celerio,VXIManual,"GT World Mall, Bengaluru",HatchBack,2015,Maruti,122048,2ND OWNER,PETROL,KA-50,398000,409000,Manual,8,15256,2.5 lakh-5 lakh
632,Maruti Swift,VXI AMTAutomatic,"Horamavu Agara Road, Bengaluru",HatchBack,2019,Maruti,48168,1ST OWNER,PETROL,KA-51,677000,705000,Automatic,4,12042,5 lakh-10 lakh
633,Honda Jazz,1.2L I-VTEC V ATAutomatic,"Bellahalli, Bengaluru",HatchBack,2017,Honda,79575,1ST OWNER,PETROL,KA-01,629000,668000,Automatic,6,13262.5,5 lakh-10 lakh
634,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"GT World Mall, Bengaluru",HatchBack,2015,Hyundai,4032,2ND OWNER,PETROL,KA-01,515000,552000,Manual,8,504,5 lakh-10 lakh
635,Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,36459,2ND OWNER,PETROL,KA-03,536000,574000,Automatic,8,4557.375,5 lakh-10 lakh
636,Maruti Wagon R 1.0,VXI OPTManual,"GT World Mall, Bengaluru",HatchBack,2016,Maruti,52356,1ST OWNER,PETROL,KA-05,477000,498000,Manual,7,7479.428571,2.5 lakh-5 lakh
637,Maruti S PRESSO,VXI+Manual,"GT World Mall, Bengaluru",HatchBack,2022,Maruti,6922,1ST OWNER,PETROL,KA-51,556000,606000,Manual,1,6922,5 lakh-10 lakh
638,Honda Jazz,1.2L I-VTEC VManual,"Bellahalli, Bengaluru",HatchBack,2017,Honda,67633,1ST OWNER,PETROL,KA-20,612000,753000,Manual,6,11272.16667,5 lakh-10 lakh
639,Maruti Baleno,ZETA PETROL 1.2Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2017,Maruti,60624,2ND OWNER,PETROL,KA-06,675000,701000,Manual,6,10104,5 lakh-10 lakh
640,Tata Tiago,XZ PLUS DUAL TONE PETROLManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2021,Tata,35097,1ST OWNER,PETROL,KA-06,718000,748000,Manual,2,17548.5,5 lakh-10 lakh
641,Maruti Swift,VXI AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2018,Maruti,25537,1ST OWNER,PETROL,KA-01,672000,705000,Automatic,5,5107.4,5 lakh-10 lakh
642,Maruti Alto,VXI PLUSManual,"Horamavu Agara Road, Bengaluru",HatchBack,2021,Maruti,16679,1ST OWNER,PETROL,KA-05,433000,479000,Manual,2,8339.5,2.5 lakh-5 lakh
643,Maruti Baleno,ALPHA CVT PETROL 1.2Automatic,"Bellahalli, Bengaluru",HatchBack,2021,Maruti,9358,1ST OWNER,PETROL,KA-51,960000,1010000,Automatic,2,4679,5 lakh-10 lakh
644,Maruti Celerio,ZXI AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2016,Maruti,17444,1ST OWNER,PETROL,KA-04,515000,541000,Automatic,7,2492,5 lakh-10 lakh
645,Maruti Baleno,ALPHA CVT PETROL 1.2Automatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2021,Maruti,8548,1ST OWNER,PETROL,KA-02,942000,992000,Automatic,2,4274,5 lakh-10 lakh
646,Maruti Baleno,ALPHA DIESEL 1.3Manual,Sonnappanahalli,HatchBack,2016,Maruti,89837,1ST OWNER,DIESEL,KA-04,724000,760000,Manual,7,12833.85714,5 lakh-10 lakh
647,Maruti Baleno,DELTA CVT PETROL 1.2Automatic,"Bellahalli, Bengaluru",HatchBack,2016,Maruti,63837,2ND OWNER,PETROL,KA-05,644000,688000,Automatic,7,9119.571429,5 lakh-10 lakh
648,Maruti Celerio,ZXI DManual,"Bellahalli, Bengaluru",HatchBack,2018,Maruti,41594,1ST OWNER,PETROL,KA-05,501000,530000,Manual,5,8318.8,5 lakh-10 lakh
649,Maruti Baleno,ALPHA CVT PETROL 1.2Automatic,"Horamavu Agara Road, Bengaluru",HatchBack,2020,Maruti,9724,1ST OWNER,PETROL,KA-02,924000,964000,Automatic,3,3241.333333,5 lakh-10 lakh
650,Maruti Baleno,DELTA PETROL 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,84422,1ST OWNER,PETROL,KA-53,504000,546000,Manual,6,14070.33333,5 lakh-10 lakh
651,Volkswagen Polo,COMFORTLINE 1.2L PETROLManual,"Bellahalli, Bengaluru",HatchBack,2010,Volkswagen,52771,2ND OWNER,PETROL,KA-03,335000,357000,Manual,13,4059.307692,2.5 lakh-5 lakh
652,Maruti Baleno,SIGMA DIESEL 1.3Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2018,Maruti,60281,2ND OWNER,DIESEL,KA-50,574000,609000,Manual,5,12056.2,5 lakh-10 lakh
653,Maruti Ritz,VDIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2011,Maruti,75879,2ND OWNER,DIESEL,KA-04,332000,371000,Manual,12,6323.25,2.5 lakh-5 lakh
654,Renault Kwid,CLIMBER 1.0 AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2017,Renault,49779,3RD OWNER,PETROL,KA-41,358000,365000,Automatic,6,8296.5,2.5 lakh-5 lakh
655,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2011,Maruti,82830,2ND OWNER,PETROL,KA-05,338000,347000,Manual,12,6902.5,2.5 lakh-5 lakh
656,Maruti Swift,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2010,Maruti,99276,2ND OWNER,PETROL,KA-51,319000,368000,Manual,13,7636.615385,2.5 lakh-5 lakh
657,Hyundai i20,MAGNA 1.2Manual,Sonnappanahalli,HatchBack,2010,Hyundai,90842,2ND OWNER,PETROL,KA-03,293000,298000,Manual,13,6987.846154,2.5 lakh-5 lakh
658,Renault Kwid,1.0 RXT 02 Anniversary EditionManual,"Bellahalli, Bengaluru",HatchBack,2017,Renault,30810,1ST OWNER,PETROL,KA-02,357000,364000,Manual,6,5135,2.5 lakh-5 lakh
659,Hyundai i20,MAGNA (O) 1.4 CRDIManual,"Bellahalli, Bengaluru",HatchBack,2012,Hyundai,64958,2ND OWNER,DIESEL,KA-01,357000,366000,Manual,11,5905.272727,2.5 lakh-5 lakh
660,Maruti Alto K10,VXI OPTManual,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,20229,2ND OWNER,PETROL,KA-04,349000,384000,Manual,6,3371.5,2.5 lakh-5 lakh
661,Hyundai i10,ERA 1.1Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2011,Hyundai,103823,1ST OWNER,PETROL,KA-03,225000,247000,Manual,12,8651.916667,below 2.5 lakh
662,Honda Jazz,1.2 S MTManual,"Bellahalli, Bengaluru",HatchBack,2016,Honda,76046,2ND OWNER,PETROL,KA-41,478000,551000,Manual,7,10863.71429,2.5 lakh-5 lakh
663,Maruti Ritz,VXIManual,"GT World Mall, Bengaluru",HatchBack,2015,Maruti,40818,1ST OWNER,PETROL,KA-02,447000,514000,Manual,8,5102.25,2.5 lakh-5 lakh
664,Maruti Swift,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2022,Maruti,16522,1ST OWNER,PETROL,KA-52,774000,814000,Manual,1,16522,5 lakh-10 lakh
665,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2014,Maruti,123227,3RD OWNER,PETROL,KA-05,392000,436000,Manual,9,13691.88889,2.5 lakh-5 lakh
666,Maruti Swift,LXI (O)Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Maruti,89200,1ST OWNER,PETROL,KA-50,452000,501000,Manual,8,11150,2.5 lakh-5 lakh
667,Renault Kiger,RXZ TURBO MTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2021,Renault,27839,1ST OWNER,PETROL,KA-14,772000,930000,Manual,2,13919.5,5 lakh-10 lakh
668,Hyundai i20,SPORTZ 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2013,Hyundai,91716,3RD OWNER,PETROL,KA-53,366000,387000,Manual,10,9171.6,2.5 lakh-5 lakh
669,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2013,Maruti,29002,1ST OWNER,PETROL,KA-53,481000,515000,Manual,10,2900.2,2.5 lakh-5 lakh
670,Renault Kwid,RXT 1.0 (O)Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2018,Renault,64592,2ND OWNER,PETROL,KA-50,346000,353000,Manual,5,12918.4,2.5 lakh-5 lakh
671,Maruti Zen Estilo,LXI CNGManual,"Bellahalli, Bengaluru",HatchBack,2013,Maruti,38594,1ST OWNER,CNG,KA-51,276000,298000,Manual,10,3859.4,2.5 lakh-5 lakh
672,Hyundai i10,MAGNA 1.2Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2013,Hyundai,30493,1ST OWNER,PETROL,KA-05,362000,386000,Manual,10,3049.3,2.5 lakh-5 lakh
673,Tata Tiago,XZA PETROLAutomatic,"GT World Mall, Bengaluru",HatchBack,2017,Tata,45408,1ST OWNER,PETROL,KA-02,485000,522000,Automatic,6,7568,2.5 lakh-5 lakh
674,Maruti Swift,VDIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2013,Maruti,55334,2ND OWNER,DIESEL,KA-01,434000,526000,Manual,10,5533.4,2.5 lakh-5 lakh
675,Datsun Redi Go,AManual,"Bellahalli, Bengaluru",HatchBack,2018,Datsun,64500,1ST OWNER,PETROL,KA-10,245000,276000,Manual,5,12900,below 2.5 lakh
676,Maruti Alto K10,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2016,Maruti,65484,3RD OWNER,PETROL,KA-50,318000,326000,Manual,7,9354.857143,2.5 lakh-5 lakh
677,Tata Tiago,XE PETROLManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2017,Tata,38063,1ST OWNER,PETROL,KA-04,419000,457000,Manual,6,6343.833333,2.5 lakh-5 lakh
678,Hyundai Eon,MAGNA PLUSManual,"Horamavu Agara Road, Bengaluru",HatchBack,2018,Hyundai,86198,2ND OWNER,PETROL,KA-02,297000,376000,Manual,5,17239.6,2.5 lakh-5 lakh
679,Hyundai i10,SPORTZ 1.2Manual,"GT World Mall, Bengaluru",HatchBack,2012,Hyundai,55805,3RD OWNER,PETROL,KA-05,275000,307000,Manual,11,5073.181818,2.5 lakh-5 lakh
680,Hyundai i10,MAGNA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2010,Hyundai,41044,1ST OWNER,PETROL,KA-14,273000,283000,Manual,13,3157.230769,2.5 lakh-5 lakh
681,Hyundai Elite i20,SPORTZ 1.2 (O)Manual,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,26502,2ND OWNER,PETROL,KA-03,557000,624000,Manual,8,3312.75,5 lakh-10 lakh
682,Maruti Celerio,ZXIManual,"GT World Mall, Bengaluru",HatchBack,2016,Maruti,32357,1ST OWNER,PETROL,KA-51,429000,467000,Manual,7,4622.428571,2.5 lakh-5 lakh
683,Volkswagen Polo,TRENDLINE 1.0LManual,Sonnappanahalli,HatchBack,2019,Volkswagen,43266,2ND OWNER,PETROL,KA-03,568000,604000,Manual,4,10816.5,5 lakh-10 lakh
684,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2021,Maruti,29850,1ST OWNER,PETROL,KA-51,675000,735000,Manual,2,14925,5 lakh-10 lakh
685,Maruti Swift,ZDI PLUS AMTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2019,Maruti,44954,1ST OWNER,DIESEL,KA-02,785000,810000,Automatic,4,11238.5,5 lakh-10 lakh
686,Toyota Etios Liva,VXManual,Sonnappanahalli,HatchBack,2011,Toyota,74175,2ND OWNER,PETROL,KA-01,340000,368000,Manual,12,6181.25,2.5 lakh-5 lakh
687,Maruti Ritz,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2010,Maruti,91149,2ND OWNER,PETROL,KA-04,298000,323000,Manual,13,7011.461538,2.5 lakh-5 lakh
688,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2014,Hyundai,94221,2ND OWNER,PETROL,KA-04,383000,424000,Manual,9,10469,2.5 lakh-5 lakh
689,Renault Kwid,RXT 0.8 (O)Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2019,Renault,31992,1ST OWNER,PETROL,KA-02,363000,375000,Manual,4,7998,2.5 lakh-5 lakh
690,Tata Tiago,XE PETROLManual,"Bellahalli, Bengaluru",HatchBack,2016,Tata,101386,1ST OWNER,PETROL,KA-02,353000,379000,Manual,7,14483.71429,2.5 lakh-5 lakh
691,Maruti Baleno,ALPHA DIESEL 1.3Manual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,84473,3RD OWNER,DIESEL,KA-20,539000,600000,Manual,8,10559.125,5 lakh-10 lakh
692,Honda Jazz,1.5L I-DTEC VXManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2015,Honda,92656,2ND OWNER,DIESEL,KA-12,476000,526000,Manual,8,11582,2.5 lakh-5 lakh
693,Maruti New Wagon-R,VXI CNG 1.0Manual,"GT World Mall, Bengaluru",HatchBack,2022,Maruti,3084,1ST OWNER,CNG,KA-02,702000,728000,Manual,1,3084,5 lakh-10 lakh
694,Maruti Celerio,VXI AMTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2014,Maruti,28577,3RD OWNER,PETROL,KA-51,365000,400000,Automatic,9,3175.222222,2.5 lakh-5 lakh
695,Maruti Baleno,SIGMA DIESEL 1.3Manual,"Bellahalli, Bengaluru",HatchBack,2018,Maruti,78631,1ST OWNER,DIESEL,KA-05,596000,673000,Manual,5,15726.2,5 lakh-10 lakh
696,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,77147,3RD OWNER,PETROL,KA-53,454000,495000,Manual,8,9643.375,2.5 lakh-5 lakh
697,Maruti Swift,ZDI AMTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2018,Maruti,79101,2ND OWNER,DIESEL,KA-03,663000,741000,Automatic,5,15820.2,5 lakh-10 lakh
698,Maruti Swift,VDIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2013,Maruti,113498,1ST OWNER,DIESEL,KA-19,419000,485000,Manual,10,11349.8,2.5 lakh-5 lakh
699,Renault Kwid,RXT 1.0Manual,"Bellahalli, Bengaluru",HatchBack,2017,Renault,74467,1ST OWNER,PETROL,KA-53,344000,368000,Manual,6,12411.16667,2.5 lakh-5 lakh
700,Hyundai i10,SPORTZ 1.2 ATAutomatic,"Bellahalli, Bengaluru",HatchBack,2010,Hyundai,73914,2ND OWNER,PETROL,KA-51,296000,312000,Automatic,13,5685.692308,2.5 lakh-5 lakh
701,Datsun Redi Go,T(O) 1.0Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2017,Datsun,38282,2ND OWNER,PETROL,KA-25,286600,321000,Manual,6,6380.333333,2.5 lakh-5 lakh
702,Nissan Micra,XL CVTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Nissan,33859,1ST OWNER,PETROL,KA-51,429000,464000,Automatic,8,4232.375,2.5 lakh-5 lakh
703,Maruti Alto K10,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2014,Maruti,68307,3RD OWNER,PETROL,KA-42,232600,296000,Manual,9,7589.666667,below 2.5 lakh
704,Hyundai i20,MAGNA (O) 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2011,Hyundai,148625,2ND OWNER,PETROL,KA-51,295000,309000,Manual,12,12385.41667,2.5 lakh-5 lakh
705,Hyundai Eon,ERA PLUS (O)Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2016,Hyundai,11079,1ST OWNER,PETROL,KA-01,329000,355000,Manual,7,1582.714286,2.5 lakh-5 lakh
706,Volkswagen Polo,HIGHLINE DIESELManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2014,Volkswagen,100761,2ND OWNER,DIESEL,KA-53,633000,680000,Manual,9,11195.66667,5 lakh-10 lakh
707,Maruti Ritz,LXIManual,"Bellahalli, Bengaluru",HatchBack,2010,Maruti,81225,2ND OWNER,PETROL,KA-04,278000,294000,Manual,13,6248.076923,2.5 lakh-5 lakh
708,Datsun Go Plus,T(O)Manual,"Bellahalli, Bengaluru",HatchBack,2019,Datsun,24895,1ST OWNER,PETROL,KA-05,479000,560000,Manual,4,6223.75,2.5 lakh-5 lakh
709,Hyundai i20,SPORTZ 1.4 CRDIManual,"Bellahalli, Bengaluru",HatchBack,2012,Hyundai,101430,3RD OWNER,DIESEL,KA-02,350000,379000,Manual,11,9220.909091,2.5 lakh-5 lakh
710,Maruti Swift,VXI AMTAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2020,Maruti,13661,2ND OWNER,PETROL,KA-02,671700,705000,Automatic,3,4553.666667,5 lakh-10 lakh
711,Hyundai i20,MAGNA (O) 1.2Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2013,Hyundai,66085,1ST OWNER,PETROL,KA-01,393000,444000,Manual,10,6608.5,2.5 lakh-5 lakh
712,Hyundai Santro Xing,GL PLUSManual,"Bellahalli, Bengaluru",HatchBack,2011,Hyundai,100954,1ST OWNER,PETROL,KA-03,246000,275000,Manual,12,8412.833333,below 2.5 lakh
713,Hyundai i20,MAGNA (O) 1.2Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2013,Hyundai,77289,1ST OWNER,PETROL,KA-05,388000,420000,Manual,10,7728.9,2.5 lakh-5 lakh
714,Hyundai Elite i20,ASTA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,47127,2ND OWNER,PETROL,KA-51,593000,661000,Manual,8,5890.875,5 lakh-10 lakh
715,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2012,Maruti,78249,3RD OWNER,PETROL,KA-53,418000,459000,Manual,11,7113.545455,2.5 lakh-5 lakh
716,Hyundai i20,ASTA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2012,Hyundai,66331,2ND OWNER,PETROL,KA-04,426000,452000,Manual,11,6030.090909,2.5 lakh-5 lakh
717,Renault Kwid,RXT 0.8Manual,"Bellahalli, Bengaluru",HatchBack,2015,Renault,84990,1ST OWNER,PETROL,KA-05,299000,314000,Manual,8,10623.75,2.5 lakh-5 lakh
718,Hyundai i20,ASTA 1.2Manual,"GT World Mall, Bengaluru",HatchBack,2010,Hyundai,92338,1ST OWNER,PETROL,KA-53,335000,360000,Manual,13,7102.923077,2.5 lakh-5 lakh
719,Hyundai Grand i10,ASTA AT 1.2 KAPPA VTVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,86577,2ND OWNER,PETROL,KA-04,431000,504000,Automatic,9,9619.666667,2.5 lakh-5 lakh
720,Maruti IGNIS,ZETA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2020,Maruti,46001,2ND OWNER,PETROL,KA-51,520000,635000,Manual,3,15333.66667,5 lakh-10 lakh
721,Datsun Redi Go,AManual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Datsun,60297,2ND OWNER,PETROL,KA-09,252000,281000,Manual,7,8613.857143,2.5 lakh-5 lakh
722,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2018,Maruti,35562,1ST OWNER,PETROL,KA-53,650000,687000,Manual,5,7112.4,5 lakh-10 lakh
723,Hyundai Grand i10,SPORTZ 1.1 CRDIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2016,Hyundai,79365,2ND OWNER,DIESEL,KA-19,453650,504000,Manual,7,11337.85714,2.5 lakh-5 lakh
724,Maruti Swift,VDI ABSManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2015,Maruti,56976,2ND OWNER,DIESEL,KA-02,583000,630000,Manual,8,7122,5 lakh-10 lakh
725,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2011,Maruti,96278,2ND OWNER,PETROL,KA-34,351600,360000,Manual,12,8023.166667,2.5 lakh-5 lakh
726,Hyundai Elite i20,SPORTZ 1.2Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Hyundai,104885,1ST OWNER,PETROL,KA-05,565000,616000,Manual,7,14983.57143,5 lakh-10 lakh
727,Maruti Celerio,VXIManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2014,Maruti,54848,1ST OWNER,PETROL,KA-05,395000,423000,Manual,9,6094.222222,2.5 lakh-5 lakh
728,Maruti IGNIS,SIGMA 1.2Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2018,Maruti,35050,1ST OWNER,PETROL,KA-19,490000,508000,Manual,5,7010,2.5 lakh-5 lakh
729,Renault Kwid,RXT 0.8Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2017,Renault,56637,1ST OWNER,PETROL,KA-08,346000,367000,Manual,6,9439.5,2.5 lakh-5 lakh
730,Hyundai i10,MAGNA 1.1Manual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,29960,1ST OWNER,PETROL,KA-03,387000,466000,Manual,7,4280,2.5 lakh-5 lakh
731,Maruti Alto 800,LXIManual,"Bellahalli, Bengaluru",HatchBack,2013,Maruti,59845,1ST OWNER,PETROL,KA-41,239000,283000,Manual,10,5984.5,below 2.5 lakh
732,Maruti Alto,VXIManual,"Bellahalli, Bengaluru",HatchBack,2022,Maruti,653,1ST OWNER,PETROL,KA-04,460000,472000,Manual,1,653,2.5 lakh-5 lakh
733,Maruti Alto 800,LXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2012,Maruti,73938,1ST OWNER,PETROL,KA-04,210000,242000,Manual,11,6721.636364,below 2.5 lakh
734,Hyundai i20,ASTA 1.4 CRDIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2014,Hyundai,41425,1ST OWNER,DIESEL,KA-03,557000,607000,Manual,9,4602.777778,5 lakh-10 lakh
735,Hyundai i20,MAGNA (O) 1.2Manual,"GT World Mall, Bengaluru",HatchBack,2011,Hyundai,75477,1ST OWNER,PETROL,KA-04,347000,358000,Manual,12,6289.75,2.5 lakh-5 lakh
736,Hyundai i10,SPORTZ 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2011,Hyundai,96116,2ND OWNER,PETROL,KA-04,278000,310000,Manual,12,8009.666667,2.5 lakh-5 lakh
737,Maruti Swift,VDIManual,"Bellahalli, Bengaluru",HatchBack,2012,Maruti,97868,1ST OWNER,DIESEL,KA-34,439000,464000,Manual,11,8897.090909,2.5 lakh-5 lakh
738,Maruti Swift,VXIManual,"GT World Mall, Bengaluru",HatchBack,2012,Maruti,23815,1ST OWNER,PETROL,KA-02,470000,515000,Manual,11,2165,2.5 lakh-5 lakh
739,Maruti Alto K10,VXI PManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2015,Maruti,30751,1ST OWNER,PETROL,KA-03,305000,356000,Manual,8,3843.875,2.5 lakh-5 lakh
740,Hyundai i10,MAGNA 1.1Manual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,42444,1ST OWNER,PETROL,KA-51,386000,440000,Manual,7,6063.428571,2.5 lakh-5 lakh
741,Hyundai Elite i20,ASTA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,102118,2ND OWNER,PETROL,KA-02,506000,547000,Manual,8,12764.75,5 lakh-10 lakh
742,Hyundai Elite i20,ASTA 1.2Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2017,Hyundai,26195,1ST OWNER,PETROL,KA-04,663000,757000,Manual,6,4365.833333,5 lakh-10 lakh
743,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,77659,1ST OWNER,PETROL,KA-01,351000,416000,Manual,8,9707.375,2.5 lakh-5 lakh
744,Maruti Wagon R 1.0,LXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2010,Maruti,48860,1ST OWNER,PETROL,KA-53,254750,290000,Manual,13,3758.461538,2.5 lakh-5 lakh
745,Maruti Alto 800,LXIManual,"Bellahalli, Bengaluru",HatchBack,2014,Maruti,48946,2ND OWNER,PETROL,KA-05,247000,260000,Manual,9,5438.444444,below 2.5 lakh
746,Maruti Swift,VDI (O)Manual,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,94926,1ST OWNER,DIESEL,KA-05,637000,705000,Manual,6,15821,5 lakh-10 lakh
747,Maruti Swift,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2014,Maruti,71336,1ST OWNER,PETROL,KA-05,437000,498000,Manual,9,7926.222222,2.5 lakh-5 lakh
748,Hyundai Eon,SPORTZManual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,46345,2ND OWNER,PETROL,KA-41,283000,306000,Manual,9,5149.444444,2.5 lakh-5 lakh
749,Maruti Swift,VXI AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2018,Maruti,46009,1ST OWNER,PETROL,KA-05,616000,705000,Automatic,5,9201.8,5 lakh-10 lakh
750,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2010,Maruti,131140,1ST OWNER,PETROL,KA-20,238000,292000,Manual,13,10087.69231,below 2.5 lakh
751,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2014,Maruti,113521,1ST OWNER,PETROL,KA-05,450000,504000,Manual,9,12613.44444,2.5 lakh-5 lakh
