,Car_Model,Type,Location,Car_Body_Type,Model_Year,Brand,Km_Driven,Ownership,Fuel_Type,RTO_Office,Discounted_Car_Price,Baseline_Price,Car_Type,Age_of_Car,Km_Driven_Per_Year,Categorize_Car_Price
325,Hyundai Elite i20,ASTA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,59734,2ND OWNER,PETROL,KA-05,606000,682000,Manual,7,8533.428571,5 lakh-10 lakh
326,Hyundai i10,SPORTZ 1.2 ATAutomatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2011,Hyundai,69532,1ST OWNER,PETROL,KA-05,323000,345000,Automatic,12,5794.333333,2.5 lakh-5 lakh
327,Maruti Swift,ZDIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,67791,2ND OWNER,DIESEL,KA-05,644000,682000,Manual,8,8473.875,5 lakh-10 lakh
328,Honda Jazz,1.2L I-VTEC V ATAutomatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Honda,55412,1ST OWNER,PETROL,KA-09,552000,603000,Automatic,8,6926.5,5 lakh-10 lakh
329,Maruti S PRESSO,VXI+Manual,"Bellahalli, Bengaluru",HatchBack,2022,Maruti,45872,1ST OWNER,PETROL,KA-16,489000,524000,Manual,1,45872,2.5 lakh-5 lakh
330,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"GT World Mall, Bengaluru",HatchBack,2015,Hyundai,46988,1ST OWNER,PETROL,KA-03,448000,528000,Manual,8,5873.5,2.5 lakh-5 lakh
331,Hyundai Grand i10,MAGNA 1.1 CRDIManual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,76009,1ST OWNER,DIESEL,KA-51,444000,475000,Manual,9,8445.444444,2.5 lakh-5 lakh
332,Maruti New Wagon-R,ZXI 1.2 AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2020,Maruti,33793,2ND OWNER,PETROL,KA-53,612000,667000,Automatic,3,11264.33333,5 lakh-10 lakh
333,Renault Kwid,RXT 1.0Manual,"Bellahalli, Bengaluru",HatchBack,2017,Renault,43199,1ST OWNER,PETROL,KA-06,392000,399000,Manual,6,7199.833333,2.5 lakh-5 lakh
334,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2014,Maruti,63782,1ST OWNER,PETROL,KA-03,460000,515000,Manual,9,7086.888889,2.5 lakh-5 lakh
335,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Hyundai,25960,1ST OWNER,PETROL,KA-05,506000,550000,Manual,7,3708.571429,5 lakh-10 lakh
336,Maruti Wagon R 1.0,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2010,Maruti,69120,2ND OWNER,PETROL,KA-04,276000,317000,Manual,13,5316.923077,2.5 lakh-5 lakh
337,Tata Tiago,XZ PETROLManual,"Bellahalli, Bengaluru",HatchBack,2016,Tata,142372,1ST OWNER,PETROL,KA-03,433000,461000,Manual,7,20338.85714,2.5 lakh-5 lakh
338,Honda Jazz,1.2L I-VTEC VXManual,"Horamavu Agara Road, Bengaluru",HatchBack,2017,Honda,70235,1ST OWNER,PETROL,KA-03,543000,640000,Manual,6,11705.83333,5 lakh-10 lakh
339,Maruti Baleno,ZETA PETROL 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,21957,1ST OWNER,PETROL,KA-17,677000,705000,Manual,6,3659.5,5 lakh-10 lakh
340,Renault Kwid,RXT 0.8Manual,Sonnappanahalli,HatchBack,2015,Renault,90079,1ST OWNER,PETROL,KA-51,309300,309300,Manual,8,11259.875,2.5 lakh-5 lakh
341,Hyundai Elite i20,ASTA 1.2 (O)Manual,"Bellahalli, Bengaluru",HatchBack,2017,Hyundai,93975,1ST OWNER,PETROL,KA-03,618000,700000,Manual,6,15662.5,5 lakh-10 lakh
342,Renault Kwid,RXT 1.0 AMT (O)Automatic,"Horamavu Agara Road, Bengaluru",HatchBack,2019,Renault,5083,2ND OWNER,PETROL,KA-50,506000,541000,Automatic,4,1270.75,5 lakh-10 lakh
343,Renault Kwid,RXT 1.0 AMT (O)Automatic,"Horamavu Agara Road, Bengaluru",HatchBack,2020,Renault,22474,1ST OWNER,PETROL,KA-50,555000,586000,Automatic,3,7491.333333,5 lakh-10 lakh
344,Renault Kwid,RXT 1.0 (O)Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2019,Renault,21997,1ST OWNER,PETROL,KA-03,441000,472000,Manual,4,5499.25,2.5 lakh-5 lakh
345,Hyundai Grand i10,ASTA 1.2 KAPPA VTVTManual,Sonnappanahalli,HatchBack,2017,Hyundai,70381,1ST OWNER,PETROL,KA-50,565000,615000,Manual,6,11730.16667,5 lakh-10 lakh
346,Hyundai Elite i20,MAGNA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,40335,1ST OWNER,PETROL,KA-51,577000,652000,Manual,7,5762.142857,5 lakh-10 lakh
347,Maruti Wagon R 1.0,VXIManual,"Bellahalli, Bengaluru",HatchBack,2015,Maruti,80863,2ND OWNER,PETROL,KA-05,356000,415000,Manual,8,10107.875,2.5 lakh-5 lakh
348,Maruti Baleno,DELTA PETROL 1.2Manual,Sonnappanahalli,HatchBack,2020,Maruti,5521,1ST OWNER,PETROL,KA-05,722000,753000,Manual,3,1840.333333,5 lakh-10 lakh
349,Maruti Celerio,ZXI AMT (O)Automatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2018,Maruti,64453,1ST OWNER,PETROL,KA-41,484000,528000,Automatic,5,12890.6,2.5 lakh-5 lakh
350,Maruti Swift,VXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2015,Maruti,29289,1ST OWNER,PETROL,KA-03,567000,629000,Manual,8,3661.125,5 lakh-10 lakh
351,Hyundai Grand i10,ASTA 1.2 KAPPA VTVTManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2019,Hyundai,69199,2ND OWNER,PETROL,KA-53,564000,621000,Manual,4,17299.75,5 lakh-10 lakh
352,Maruti Celerio,VXIManual,"Bellahalli, Bengaluru",HatchBack,2016,Maruti,41268,2ND OWNER,PETROL,KA-05,419000,437000,Manual,7,5895.428571,2.5 lakh-5 lakh
353,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,32168,1ST OWNER,PETROL,KA-03,436000,540000,Manual,8,4021,2.5 lakh-5 lakh
354,Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,39693,2ND OWNER,PETROL,KA-01,524000,583000,Automatic,7,5670.428571,5 lakh-10 lakh
355,Maruti New Wagon-R,ZXI 1.2 AMTAutomatic,"Horamavu Agara Road, Bengaluru",HatchBack,2020,Maruti,3725,1ST OWNER,PETROL,KA-05,650000,702000,Automatic,3,1241.666667,5 lakh-10 lakh
356,Renault Kwid,RXT 0.8 (O)Manual,Sonnappanahalli,HatchBack,2016,Renault,66707,1ST OWNER,PETROL,KA-51,341000,351000,Manual,7,9529.571429,2.5 lakh-5 lakh
357,Maruti Baleno,ZETA PETROL 1.2Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2017,Maruti,80830,1ST OWNER,PETROL,KA-03,651000,714000,Manual,6,13471.66667,5 lakh-10 lakh
358,Honda Jazz,1.2 V MTManual,"Bellahalli, Bengaluru",HatchBack,2017,Honda,45938,2ND OWNER,PETROL,KA-03,579000,785000,Manual,6,7656.333333,5 lakh-10 lakh
359,Maruti Baleno,DELTA PETROL 1.2Manual,"GT World Mall, Bengaluru",HatchBack,2016,Maruti,39674,1ST OWNER,PETROL,KA-51,638000,638000,Manual,7,5667.714286,5 lakh-10 lakh
