,Car_Model,Configuration,Type,Discounted_Price,Location
145,2014 Renault Duster,"66,463 KM
1ST OWNER
DIESEL
KA-53",85 PS RXL PLUS DIESELManual,"₹7,04,000
₹7,23,000","Bellahalli, Bengaluru"
146,2019 KIA SELTOS,"49,589 KM
1ST OWNER
PETROL
KA-51",GTX + AT PETROLAutomatic,"₹15,87,300
₹18,72,000","Garuda Mall, Magrath Road, Bengaluru"
147,2018 Tata NEXON,"85,731 KM
1ST OWNER
DIESEL
KA-02",XZA PLUS DIESELAutomatic,"₹8,72,000","Garuda Mall, Magrath Road, Bengaluru"
148,2020 Mahindra XUV 3OO,"59,619 KM
1ST OWNER
PETROL
KA-05",W8 (O) 1.2 PETROLManual,"₹10,20,000
₹10,71,000","Garuda Mall, Magrath Road, Bengaluru"
149,2021 KIA SELTOS,"10,058 KM
1ST OWNER
PETROL
KA-50",HTX 1.5 CVT PETROLAutomatic,"₹15,33,000
₹16,17,000","Garuda Mall, Magrath Road, Bengaluru"
150,2018 Ford Ecosport,"12,623 KM
2ND OWNER
PETROL
KA-51",TITANIUM + 1.5L PETROL ATAutomatic,"₹9,09,000
₹9,31,000","Garuda Mall, Magrath Road, Bengaluru"
151,2019 Ford Ecosport,"34,845 KM
1ST OWNER
PETROL
KA-01",TITANIUM + 1.5L PETROL ATAutomatic,"₹8,78,000",Sonnappanahalli
152,2017 Maruti Vitara Brezza,"94,127 KM
1ST OWNER
DIESEL
KA-02",ZDI PLUS DUAL TONEManual,"₹9,09,000
₹10,14,000","Garuda Mall, Magrath Road, Bengaluru"
153,2017 Maruti Vitara Brezza,"69,004 KM
1ST OWNER
DIESEL
KA-41",ZDI PLUSManual,"₹9,54,000
₹10,03,000","Horamavu Agara Road, Bengaluru"
154,2017 Maruti Vitara Brezza,"40,988 KM
1ST OWNER
DIESEL
KA-03",ZDI PLUSManual,"₹10,17,000
₹10,46,000","Garuda Mall, Magrath Road, Bengaluru"
155,2022 Tata NEXON,"8,660 KM
2ND OWNER
PETROL
KA-51",XZ PLUS (O) PETROLManual,"₹11,95,000
₹12,43,000","Garuda Mall, Magrath Road, Bengaluru"
156,2015 Ford Ecosport,"42,710 KM
2ND OWNER
PETROL
KA-05",TITANIUM 1.5L PETROL ATAutomatic,"₹6,47,000
₹6,78,000","Bellahalli, Bengaluru"
157,2016 Ford Ecosport,"1,06,835 KM
2ND OWNER
DIESEL
KA-02",TITANIUM+ 1.5L DIESELManual,"₹6,86,000
₹7,19,000","GT World Mall, Bengaluru"
158,2017 Hyundai Creta,"36,376 KM
2ND OWNER
PETROL
KA-03",SX PLUS 1.6 PETROLManual,"₹10,15,000
₹10,43,000",Sonnappanahalli
159,2016 Ford Ecosport,"43,791 KM
1ST OWNER
PETROL
KA-03",TITANIUM 1.5L PETROL ATAutomatic,"₹7,84,000
₹7,97,000","Garuda Mall, Magrath Road, Bengaluru"
160,2021 KIA SELTOS,"19,711 KM
2ND OWNER
PETROL
KA-05",GTX PLUS DCT 1.4 PETROLAutomatic,"₹16,10,000
₹16,94,000",Sonnappanahalli
161,2016 Ford Ecosport,"49,068 KM
2ND OWNER
PETROL
KA-51",TITANIUM 1.5L PETROL ATAutomatic,"₹7,04,000
₹7,46,000","Garuda Mall, Magrath Road, Bengaluru"
162,2021 KIA SELTOS,"7,265 KM
1ST OWNER
PETROL
KA-04",HTX 1.5 PETROLManual,"₹14,32,000
₹15,10,000","Garuda Mall, Magrath Road, Bengaluru"
163,2018 Ford Ecosport,"65,598 KM
2ND OWNER
PETROL
KA-01",TITANIUM 1.5L PETROL ATAutomatic,"₹8,63,000
₹9,08,000","Bellahalli, Bengaluru"
164,2016 Ford Ecosport,"57,948 KM
1ST OWNER
DIESEL
KA-05",TITANIUM 1.5L DIESELManual,"₹7,03,000
₹7,10,000","Garuda Mall, Magrath Road, Bengaluru"
165,2019 Tata NEXON,"39,154 KM
2ND OWNER
DIESEL
KA-22",XZA PLUS DIESELAutomatic,"₹9,94,000","Bellahalli, Bengaluru"
166,2018 Ford Ecosport,"43,481 KM
2ND OWNER
PETROL
KA-04",TITANIUM 1.5L PETROL ATAutomatic,"₹8,12,000
₹9,58,000","Garuda Mall, Magrath Road, Bengaluru"
167,2016 Ford Ecosport,"63,805 KM
1ST OWNER
PETROL
KA-04",1.5 TITANIUM TI VCT ATAutomatic,"₹6,99,000
₹7,33,000","Bellahalli, Bengaluru"
168,2016 Ford Ecosport,"39,378 KM
1ST OWNER
PETROL
KA-03",TITANIUM 1.5L PETROL ATAutomatic,"₹7,83,000
₹8,04,000","Bellahalli, Bengaluru"
169,2017 Ford Ecosport,"41,134 KM
1ST OWNER
PETROL
KA-03",TITANIUM 1.5L PETROL ATAutomatic,"₹7,27,000
₹7,76,000",Sonnappanahalli
170,2018 Ford Ecosport,"65,828 KM
2ND OWNER
PETROL
KA-51",TITANIUM + 1.5L PETROL ATAutomatic,"₹8,17,000
₹8,37,000","Hosur Road, Singasandra, Bengaluru"
171,2017 Maruti Vitara Brezza,"69,301 KM
1ST OWNER
DIESEL
KA-04",ZDI PLUSManual,"₹9,71,000",Sonnappanahalli
172,2017 Ford Ecosport,"48,743 KM
1ST OWNER
DIESEL
KA-03",TITANIUM 1.5L DIESELManual,"₹7,96,000
₹8,48,000","Garuda Mall, Magrath Road, Bengaluru"
173,2016 Ford Ecosport,"51,215 KM
1ST OWNER
DIESEL
KA-03",TITANIUM 1.5L DIESELManual,"₹7,17,000
₹7,35,000","Garuda Mall, Magrath Road, Bengaluru"
174,2016 Ford Ecosport,"32,465 KM
1ST OWNER
PETROL
KA-51",TREND 1.5L PETROLManual,"₹7,13,000
₹7,38,000",Sonnappanahalli
175,2014 Ford Ecosport,"1,21,782 KM
2ND OWNER
PETROL
KA-04",TITANIUM 1.0L ECOBOOSTManual,"₹4,73,000
₹5,14,000","Bellahalli, Bengaluru"
176,2015 Maruti Omni,"56,292 KM
1ST OWNER
PETROL
KA-01",5 STRManual,"₹2,70,000
₹2,77,000","Hosur Road, Singasandra, Bengaluru"
177,2020 KIA SONET,"30,398 KM
1ST OWNER
DIESEL
KA-01",HTX 1.5Manual,"₹9,94,000
₹10,56,000","Garuda Mall, Magrath Road, Bengaluru"
178,2015 Nissan Terrano,"94,647 KM
3RD OWNER
DIESEL
KA-51",XE (D)Manual,"₹4,27,000
₹4,68,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
179,2021 Mahindra Thar,"9,252 KM
1ST OWNER
PETROL
KA-50",LX P 4WD AT CONVERTIBLEAutomatic,"₹15,54,000
₹16,35,000","Garuda Mall, Magrath Road, Bengaluru"
180,2016 Hyundai Creta,"67,621 KM
1ST OWNER
PETROL
KA-03",1.6 SX PLUS PETROLManual,"₹8,57,000
₹9,87,000","Garuda Mall, Magrath Road, Bengaluru"
181,2021 Hyundai Creta,"66,922 KM
1ST OWNER
DIESEL
KA-03",SX (O) 1.5 DIESELManual,"₹15,98,000
₹16,44,000","Garuda Mall, Magrath Road, Bengaluru"
182,2013 Maruti Ertiga,"1,12,343 KM
1ST OWNER
PETROL
KA-19",ZXIManual,"₹5,86,000
₹6,35,000","Bellahalli, Bengaluru"
183,2013 Renault Duster,"1,04,606 KM
2ND OWNER
DIESEL
KA-51",85 PS RXL DIESELManual,"₹4,99,000
₹5,30,000","Bellahalli, Bengaluru"
184,2014 Renault Duster,"1,09,706 KM
3RD OWNER
DIESEL
KA-02",85 PS RXE DIESELManual,"₹4,60,000
₹4,65,000","Horamavu Agara Road, Bengaluru"
185,2012 Maruti Ertiga,"49,317 KM
2ND OWNER
PETROL
KA-05",VXIManual,"₹5,81,000
₹6,26,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
186,2016 Hyundai Creta,"37,550 KM
3RD OWNER
PETROL
KA-04",SX PLUS 1.6 PETROLManual,"₹8,81,000
₹9,15,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
187,2020 Mahindra XUV 3OO,"13,631 KM
1ST OWNER
PETROL
KA-18",W4 1.2 PETROLManual,"₹7,77,000
₹8,77,000","Garuda Mall, Magrath Road, Bengaluru"
188,2017 Maruti Ertiga,"46,519 KM
2ND OWNER
DIESEL
KA-53",ZDI + SHVSManual,"₹9,56,000
₹9,75,000","GT World Mall, Bengaluru"
189,2015 Maruti Ertiga,"86,046 KM
1ST OWNER
PETROL
KA-05",ZXIManual,"₹6,81,000","Horamavu Agara Road, Bengaluru"
190,2020 Renault TRIBER,"32,937 KM
2ND OWNER
PETROL
KA-19",RXL MTManual,"₹5,87,000
₹6,07,000","Hosur Road, Singasandra, Bengaluru"
191,2016 Mahindra Kuv100,"72,057 KM
1ST OWNER
PETROL
KA-12",K8 6 STRManual,"₹4,14,000
₹4,50,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
192,2016 Mahindra TUV300,"94,469 KM
2ND OWNER
DIESEL
KA-51",T6 PLUS AMTAutomatic,"₹6,32,000
₹6,53,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
193,2021 Tata Harrier,"17,841 KM
1ST OWNER
DIESEL
KA-51",XT 2.0L KRYOTECManual,"₹16,35,000
₹16,83,000","Garuda Mall, Magrath Road, Bengaluru"
194,2019 Mahindra XUV 3OO,"29,953 KM
1ST OWNER
DIESEL
KA-03",W6 1.5 DIESELManual,"₹8,38,000
₹8,77,000","Garuda Mall, Magrath Road, Bengaluru"
195,2022 Tata Safari,"48,686 KM
1ST OWNER
DIESEL
KA-48",XZA PLUS GOLDAutomatic,"₹22,12,000
₹23,17,000","Garuda Mall, Magrath Road, Bengaluru"
196,2014 Maruti Ertiga,"53,766 KM
2ND OWNER
PETROL
KA-05",VXIManual,"₹6,59,000
₹6,77,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
197,2016 Mahindra TUV300,"73,195 KM
2ND OWNER
DIESEL
KA-03",T8 ATAutomatic,"₹6,59,000
₹6,84,000","Horamavu Agara Road, Bengaluru"
198,2021 KIA SELTOS,"47,344 KM
1ST OWNER
DIESEL
KA-03",HTX PLUS 1.5 DIESELManual,"₹15,41,000
₹15,75,000","Garuda Mall, Magrath Road, Bengaluru"
199,2015 Renault Duster,"83,248 KM
1ST OWNER
DIESEL
KA-01",85 PS RXL DIESELManual,"₹6,50,000
₹6,73,000","Hosur Road, Singasandra, Bengaluru"
200,2019 Mahindra XUV 3OO,"85,168 KM
1ST OWNER
DIESEL
KA-51",W8 1.5 DIESELManual,"₹9,82,000","Garuda Mall, Magrath Road, Bengaluru"
201,2017 Mahindra TUV300,"49,678 KM
2ND OWNER
DIESEL
KA-05",T8Manual,"₹7,33,000
₹7,54,000",Sonnappanahalli
202,2020 KIA SONET,"65,561 KM
1ST OWNER
DIESEL
KA-04",HTX PLUS 1.5Manual,"₹10,96,000
₹11,18,000","GT World Mall, Bengaluru"
203,2022 KIA CARENS,"21,173 KM
1ST OWNER
PETROL
KA-19",LUXURY PLUS 1.4 PETROL 6 STRManual,"₹16,06,000
₹17,12,000","Garuda Mall, Magrath Road, Bengaluru"
204,2018 Ford FREESTYLE,"62,700 KM
2ND OWNER
PETROL
KA-51",TITANIUM 1.2 PETROLManual,"₹5,24,000
₹6,15,000","Hosur Road, Singasandra, Bengaluru"
205,2017 Maruti Vitara Brezza,"42,611 KM
1ST OWNER
DIESEL
KA-04",ZDI PLUSManual,"₹9,83,000
₹10,03,000","Garuda Mall, Magrath Road, Bengaluru"
206,2018 Ford FREESTYLE,"52,626 KM
1ST OWNER
PETROL
KA-03",TITANIUM PLUS 1.2 PETROLManual,"₹5,55,000
₹6,21,000","Bellahalli, Bengaluru"
207,2020 Renault TRIBER,"7,922 KM
1ST OWNER
PETROL
KA-03",RXZ AMTAutomatic,"₹7,32,700
₹7,93,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
208,2017 Hyundai Creta,"20,134 KM
1ST OWNER
PETROL
KA-04",E PLUS 1.6 PETROLManual,"₹9,54,000
₹9,79,000","Garuda Mall, Magrath Road, Bengaluru"
209,2017 Maruti Vitara Brezza,"96,567 KM
1ST OWNER
DIESEL
DL-1C",VDIManual,"₹7,43,000","Bellahalli, Bengaluru"
210,2018 Mahindra TUV300,"54,603 KM
1ST OWNER
DIESEL
KA-03",T10Manual,"₹8,15,000
₹8,35,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
211,2021 Tata NEXON,"7,662 KM
1ST OWNER
PETROL
KA-53",XZA PLUS (O) PETROLAutomatic,"₹12,05,000
₹12,30,000","Horamavu Agara Road, Bengaluru"
212,2016 Mahindra TUV300,"84,575 KM
1ST OWNER
DIESEL
KA-05",T8Manual,"₹7,21,000
₹7,76,000","Bellahalli, Bengaluru"
213,2013 Maruti Ertiga,"80,267 KM
1ST OWNER
DIESEL
KA-04",ZDIManual,"₹7,50,000
₹7,86,000","Bellahalli, Bengaluru"
214,2020 Ford Ecosport,"31,724 KM
1ST OWNER
PETROL
KA-04",TITANIUM + 1.5L PETROL ATAutomatic,"₹9,62,000
₹11,93,000","Garuda Mall, Magrath Road, Bengaluru"
215,2016 Maruti Vitara Brezza,"79,740 KM
1ST OWNER
DIESEL
DL-14",VDI (O)Manual,"₹7,40,000","Garuda Mall, Magrath Road, Bengaluru"
