,Car_Model,Configuration,Type,Discounted_Price,Location
34,2017 Ford Ecosport,"71,230 KM
1ST OWNER
DIESEL
KA-20",1.5 TITANIUM PLATINUM EDITION DIESELManual,"₹7,28,000
₹9,03,000","Horamavu Agara Road, Bengaluru"
35,2018 Ford Ecosport,"36,261 KM
3RD OWNER
DIESEL
KA-03",TREND+ 1.5L DIESELManual,"₹7,36,000
₹7,59,000","GT World Mall, Bengaluru"
36,2022 Volkswagen TAIGUN,"5,356 KM
1ST OWNER
PETROL
KA-03",TOPLINE 1.0 TSI MTManual,"₹15,66,000
₹16,90,000","Garuda Mall, Magrath Road, Bengaluru"
37,2020 KIA SONET,"49,053 KM
1ST OWNER
PETROL
KA-19",GTX PLUS 1.0 IMTManual,"₹10,68,000
₹11,89,000","Garuda Mall, Magrath Road, Bengaluru"
38,2022 KIA CARENS,"16,047 KM
1ST OWNER
PETROL
KA-05",LUXURY PLUS 1.4 PETROL 7 STRManual,"₹17,13,600
₹18,26,000","Garuda Mall, Magrath Road, Bengaluru"
39,2020 Renault TRIBER,"42,063 KM
1ST OWNER
PETROL
KA-05",RXZ AMTAutomatic,"₹7,00,000
₹7,33,000",Sonnappanahalli
40,2020 Hyundai Creta,"52,422 KM
1ST OWNER
PETROL
KA-41",SX 1.5 PETROLManual,"₹14,01,000
₹14,75,000","Garuda Mall, Magrath Road, Bengaluru"
41,2020 Hyundai VENUE,"46,640 KM
2ND OWNER
PETROL
KA-05",SX 1.0 TURBOManual,"₹9,25,000
₹10,75,000","Garuda Mall, Magrath Road, Bengaluru"
42,2013 Maruti Ertiga,"88,808 KM
2ND OWNER
DIESEL
KA-01",VDIManual,"₹6,13,000",Sonnappanahalli
43,2020 Hyundai VENUE,"65,976 KM
2ND OWNER
DIESEL
KA-17",SX (O) 1.5 CRDIManual,"₹10,26,000
₹10,57,000","Garuda Mall, Magrath Road, Bengaluru"
44,2019 Tata Harrier,"28,315 KM
1ST OWNER
DIESEL
KA-05",XZ 2.0L KryotecManual,"₹16,29,000
₹17,48,000","Garuda Mall, Magrath Road, Bengaluru"
