,Car_Model,Configuration,Type,Discounted_Price,Location
634,2015 Hyundai Grand i10,"4,032 KM
2ND OWNER
PETROL
KA-01",SPORTZ 1.2 KAPPA VTVTManual,"₹5,15,000
₹5,52,000","GT World Mall, Bengaluru"
635,2015 Hyundai Grand i10,"36,459 KM
2ND OWNER
PETROL
KA-03",ASTA AT 1.2 KAPPA VTVTAutomatic,"₹5,36,000
₹5,74,000","Bellahalli, Bengaluru"
636,2016 Maruti Wagon R 1.0,"52,356 KM
1ST OWNER
PETROL
KA-05",VXI OPTManual,"₹4,77,000
₹4,98,000","GT World Mall, Bengaluru"
637,2022 Maruti S PRESSO,"6,922 KM
1ST OWNER
PETROL
KA-51",VXI+Manual,"₹5,56,000
₹6,06,000","GT World Mall, Bengaluru"
638,2017 Honda Jazz,"67,633 KM
1ST OWNER
PETROL
KA-20",1.2L I-VTEC VManual,"₹6,12,000
₹7,53,000","Bellahalli, Bengaluru"
639,2017 Maruti Baleno,"60,624 KM
2ND OWNER
PETROL
KA-06",ZETA PETROL 1.2Manual,"₹6,75,000
₹7,01,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
640,2021 Tata Tiago,"35,097 KM
1ST OWNER
PETROL
KA-06",XZ PLUS DUAL TONE PETROLManual,"₹7,18,000
₹7,48,000","Hosur Road, Singasandra, Bengaluru"
641,2018 Maruti Swift,"25,537 KM
1ST OWNER
PETROL
KA-01",VXI AMTAutomatic,"₹6,72,000
₹7,05,000","Bellahalli, Bengaluru"
642,2021 Maruti Alto,"16,679 KM
1ST OWNER
PETROL
KA-05",VXI PLUSManual,"₹4,33,000
₹4,79,000","Horamavu Agara Road, Bengaluru"
643,2021 Maruti Baleno,"9,358 KM
1ST OWNER
PETROL
KA-51",ALPHA CVT PETROL 1.2Automatic,"₹9,60,000
₹10,10,000","Bellahalli, Bengaluru"
644,2016 Maruti Celerio,"17,444 KM
1ST OWNER
PETROL
KA-04",ZXI AMTAutomatic,"₹5,15,000
₹5,41,000","Bellahalli, Bengaluru"
645,2021 Maruti Baleno,"8,548 KM
1ST OWNER
PETROL
KA-02",ALPHA CVT PETROL 1.2Automatic,"₹9,42,000
₹9,92,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
646,2016 Maruti Baleno,"89,837 KM
1ST OWNER
DIESEL
KA-04",ALPHA DIESEL 1.3Manual,"₹7,24,000
₹7,60,000",Sonnappanahalli
647,2016 Maruti Baleno,"63,837 KM
2ND OWNER
PETROL
KA-05",DELTA CVT PETROL 1.2Automatic,"₹6,44,000
₹6,88,000","Bellahalli, Bengaluru"
648,2018 Maruti Celerio,"41,594 KM
1ST OWNER
PETROL
KA-05",ZXI DManual,"₹5,01,000
₹5,30,000","Bellahalli, Bengaluru"
649,2020 Maruti Baleno,"9,724 KM
1ST OWNER
PETROL
KA-02",ALPHA CVT PETROL 1.2Automatic,"₹9,24,000
₹9,64,000","Horamavu Agara Road, Bengaluru"
