,Car_Model,Configuration,Type,Discounted_Price,Location
36,2020 Hyundai Verna,"33,760 KM
1ST OWNER
DIESEL
KA-19",SX (O) 1.5 CRDIManual,"₹13,72,000
₹14,66,000","Horamavu Agara Road, Bengaluru"
37,2017 Volkswagen Ameo,"78,752 KM
2ND OWNER
DIESEL
KA-41",HIGHLINE DSG 1.5 DIESEL Automatic,"₹5,64,000
₹6,40,000","Bellahalli, Bengaluru"
38,2019 Maruti Ciaz,"54,561 KM
2ND OWNER
PETROL
KA-51",DELTA AT 1.5 SHVS PETROLAutomatic,"₹7,95,000
₹9,42,000","Bellahalli, Bengaluru"
39,2017 Honda City,"56,253 KM
3RD OWNER
PETROL
KA-03",1.5L I-VTEC V MTManual,"₹6,72,000
₹7,33,000","Bellahalli, Bengaluru"
40,2013 Honda City,"49,873 KM
1ST OWNER
PETROL
KA-05",1.5L I-VTEC V MTManual,"₹5,43,000
₹5,93,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
41,2015 Honda City,"90,333 KM
2ND OWNER
PETROL
KA-03",1.5L I-VTEC VX CVTAutomatic,"₹7,29,000
₹7,86,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
42,2016 Honda City,"43,238 KM
2ND OWNER
PETROL
KA-03",1.5L I-VTEC V MTManual,"₹6,65,000
₹8,14,000","Bellahalli, Bengaluru"
43,2022 Skoda SLAVIA,"7,281 KM
1ST OWNER
PETROL
KA-05",AMBITION 1.0L TSI MTManual,"₹13,58,000
₹14,52,000","Horamavu Agara Road, Bengaluru"
44,2018 Maruti Ciaz,"34,761 KM
1ST OWNER
PETROL
KA-53",ALPHA 1.5 SHVS PETROLManual,"₹7,78,000
₹8,11,000","GT World Mall, Bengaluru"
45,2017 Honda City,"53,295 KM
2ND OWNER
PETROL
KA-30",1.5L I-VTEC VXManual,"₹7,13,000
₹8,05,000","Horamavu Agara Road, Bengaluru"
46,2022 Maruti Ciaz,"13,301 KM
1ST OWNER
PETROL
KA-19",ZETA 1.5 SHVS MT PETROLManual,"₹9,98,000
₹10,74,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
47,2015 Maruti Swift Dzire,"51,745 KM
2ND OWNER
DIESEL
KA-05",VDIManual,"₹5,43,000
₹5,72,000",Sonnappanahalli
48,2017 Honda City,"54,531 KM
1ST OWNER
PETROL
KA-36",1.5L I-VTEC V MTManual,"₹6,92,000
₹7,34,000","Horamavu Agara Road, Bengaluru"
49,2016 Volkswagen Ameo,"31,293 KM
1ST OWNER
PETROL
KA-02",COMFORTLINE 1.2LManual,"₹5,27,000
₹5,85,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
50,2015 Honda City,"94,947 KM
1ST OWNER
PETROL
KA-03",1.5L I-VTEC SV CVTAutomatic,"₹5,87,000
₹6,49,000","GT World Mall, Bengaluru"
51,2018 Maruti Dzire,"45,215 KM
2ND OWNER
PETROL
KA-04",VXI AMTAutomatic,"₹6,02,000
₹6,50,000","Bellahalli, Bengaluru"
52,2022 Maruti Dzire,"6,324 KM
1ST OWNER
PETROL
KA-51",VXIManual,"₹7,96,000
₹8,20,000","Bellahalli, Bengaluru"
53,2018 Volkswagen Vento,"28,050 KM
2ND OWNER
PETROL
KA-03",COMFORTLINE 1.6Manual,"₹7,45,000
₹8,19,000","Bellahalli, Bengaluru"
54,2016 Honda Amaze,"46,099 KM
1ST OWNER
PETROL
KA-04",1.2L I-VTEC VXManual,"₹5,37,000
₹6,03,000","Bellahalli, Bengaluru"
55,2018 Hyundai Verna,"49,792 KM
2ND OWNER
DIESEL
KA-53",1.6 CRDI SXManual,"₹9,81,000
₹10,11,000","Horamavu Agara Road, Bengaluru"
56,2015 Hyundai Xcent,"77,721 KM
1ST OWNER
PETROL
KA-51",SX AT 1.2 (O)Automatic,"₹4,87,000
₹5,36,000","Bellahalli, Bengaluru"
